Cardinal, male: 91, female: 0, ratio: 1
Cardiologist, male: 12, female: 1, ratio: 12.0
Career, male: 2, female: 0, ratio: 1
Caregiver, male: 0, female: 1, ratio: 0.0
Caricaturist, male: 3, female: 1, ratio: 3.0
Carlist, male: 1, female: 0, ratio: 1
Carlo, male: 1, female: 0, ratio: 1
Carnot, male: 1, female: 0, ratio: 1
Caro, male: 2, female: 0, ratio: 1
Carpenter, male: 9, female: 0, ratio: 1
Carr, male: 1, female: 0, ratio: 1
Carrel, male: 0, female: 2, ratio: 0.0
Cartographer, male: 16, female: 1, ratio: 16.0
Cartoonist, male: 92, female: 13, ratio: 7.076923076923077
